ITEM_ID,TITLE,YEAR,IMDB_RATING,IMDB_NUMBEROFVOTES,US_MATURITY_RATING_STRING,US_MATURITY_RATING,GENRES,CREATION_TIMESTAMP,PROMOTION
tt0218182,An Everlasting Piece,2000,6,1586,R,17,Comedy,946684800,FALSE
tt0219653,Dracula 2000,2000,5,31837,R,17,Action|Fantasy|Horror|Thriller,946684800,FALSE
tt0219699,The Gift,2000,7,62836,R,17,Drama|Fantasy|Horror|Mystery,946684800,FALSE
tt0219822,Human Nature,2001,6,17383,R,17,Comedy|Drama,978307200,FALSE
tt0227445,The Score,2001,7,120066,R,17,Action|Crime|Drama|Thriller,978307200,FALSE
tt0228333,Ghosts of Mars,2001,5,50660,R,17,Action|Horror|Sci-Fi,978307200,FALSE
tt0235198,Audition,1999,7,71744,R,17,Drama|Horror|Mystery,915148800,FALSE
tt0235327,Dark Days,2000,8,6332,Not Rated,18,Documentary,946684800,FALSE
tt0235737,The Salton Sea,2002,7,29408,R,17,Crime|Drama|Mystery|Thriller,1009843200,FALSE
tt0240510,The Four Feathers,2002,6,32363,R,17,Action|Adventure|Drama|Romance|War,1009843200,FALSE
tt0241025,Vanity Fair,2004,6,20972,PG-13,13,Drama,1072915200,FALSE
tt0243017,Waking Life,2001,8,60216,R,17,Animation|Drama|Fantasy,978307200,FALSE
tt0243135,Happenstance,2000,7,3778,R,17,Comedy|Drama|Romance,946684800,FALSE
tt0246643,George Carlin: Jammin' in New York,1992,9,3221,TV-MA,17,Documentary|Comedy,694224000,FALSE
tt0246645,George Carlin: You Are All Diseased,1999,9,3798,TV-MA,17,Documentary|Comedy,915148800,FALSE
tt0246677,Heaven,2002,7,23123,R,17,Crime|Drama|Romance|Thriller,1009843200,FALSE
tt0251127,How to Lose a Guy in 10 Days,2003,6,207606,PG-13,13,Comedy|Romance,1041379200,FALSE
tt0252866,American Pie 2,2001,6,237881,R,17,Comedy,978307200,FALSE
tt0253556,Reign of Fire,2002,6,125357,PG-13,13,Action|Adventure|Fantasy|Thriller,1009843200,FALSE
tt0256415,Sweet Home Alabama,2002,6,101306,PG-13,13,Comedy|Romance,1009843200,FALSE
tt0906325,Bagboy,2007,4,741,PG-13,13,Comedy,1167609600,FALSE
tt0906665,Sukiyaki Western Django,2007,6,14582,R,17,Action|Western,1167609600,FALSE
tt0907657,Once,2007,8,109787,R,17,Drama|Music|Romance,1167609600,FALSE
tt0910554,Frequently Asked Questions About Time Travel,2009,7,32051,PG-13,13,Comedy|Sci-Fi,1230768000,FALSE
tt0910812,Tin Man,2007,7,13049,TV-PG,8,Adventure|Fantasy|Sci-Fi|Western,1167609600,FALSE
tt0910847,Breakfast with Scot,2007,7,2929,PG-13,13,Comedy|Drama|Music|Romance|Sport,1167609600,FALSE
tt0910873,An Evening with Kevin Smith 2: Evening Harder,2006,8,2873,Unrated,18,Documentary|Comedy,1136073600,FALSE
tt0910885,A Merry Friggin' Christmas,2014,5,5792,PG-13,13,Comedy|Drama,1388534400,FALSE
tt0910905,In the Electric Mist,2009,6,16592,R,17,Crime|Drama|Mystery|Thriller,1230768000,FALSE
tt0910936,Pineapple Express,2008,7,313198,R,17,Action|Comedy|Crime,1199145600,FALSE
tt0910970,WALL·E,2008,8,984101,G,0,Animation|Adventure|Family|Sci-Fi,1199145600,FALSE
tt0912583,For the Bible Tells Me So,2007,8,4322,Unrated,18,Documentary|Romance,1167609600,FALSE
tt0912592,My Kid Could Paint That,2007,7,3182,PG-13,13,Documentary|Family|Mystery,1167609600,FALSE
tt0912593,No End in Sight,2007,8,8120,Not Rated,18,Documentary|War,1167609600,FALSE
tt0912599,War Dance,2007,8,1113,PG-13,13,Documentary|Music|War,1167609600,FALSE
tt0913445,YPF,2007,6,18901,Not Rated,18,Comedy|Drama|Romance,1167609600,FALSE
tt0914798,The Boy in the Striped Pajamas,2008,8,187710,PG-13,13,Drama|War,1199145600,FALSE
tt1007028,Zack and Miri Make a Porno,2008,6,171278,R,17,Comedy|Romance,1199145600,FALSE
